location,count,ratio
"8/13-8/15-8/17 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",176,0.00032223219026346144
"Tầng 6, 19 – 19/2A Hồ Văn Huê, Phường 9, Quận Phú Nhuận, Tp.HCM",176,0.00032223219026346144
"Trung Mỹ Tây, Hồ Chí Minh",175,0.0003204013255460554
"1/148 Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",175,0.0003204013255460554
"646 o. đường Nguyễn Trãi, Phường 11, Quận 5, Thành phố Hồ Chí Minh, Việt Nam | 23 Đường Số 6, Phường Bình Phú, TP Hồ Chí Minh, Việt Nam",173,0.00031673959611124334
"Văn phòng 204, Tầng 2, Tòa nhà Citilight, Số 45 Võ Thị Sáu, Phường Tân Định, Thành phố Hồ Chí Minh",167,0.00030575440780680714
"Số 458 phố Minh Khai, phường Vĩnh Tuy, Quận Hai Bà Trưng, Thành Phố Hà Nội",167,0.00030575440780680714
"Toàn khu vực | Tòa nhà E-Town, Số 364, Đường Cộng Hòa, Phường Tân Bình, TP Hồ Chí Minh (Quận Tân Bình Cũ)",166,0.00030392354308940114
"108 đường số 6, Khu Nhà ở Rạch Bà Tánh,ấp 5, Xã Bình Hưng, Huyện Bình Chánh, TP Hồ Chí Minh",162,0.000296600084219777
"Chi nhánh Hà Nội: Ngõ 300 Nguyễn Xiển, Lô S5-7 Cụm làng nghề sản xuất Triều Khúc, Thanh Xuân, Hà Nội",157,0.00028744576063274683
"124 Tôn Đức Thắng, Phường Quốc Tử Giám, Quận Đống Đa, Hà Nội / 416 -420 Lý Thường Kiệt, Quận Tân Bình, TP HCM",155,0.0002837840311979348
"12 đường số 51, phường bình trung đông, thủ đức | 239 Nguyễn Duy Trinh, Khu phố 1, Phường Bình Trưng, TP Hồ Chí Minh, Việt Nam",154,0.00028195316648052873
"442 Nguyễn Thị Minh Khai, Phuờng 5, Quận 3",153,0.00028012230176312274
