salary,salary_available,salary_min_million_vnd,salary_max_million_vnd,salary_avg_million_vnd,salary_currency,salary_parse_issue
22.000.000 - 28.000.000 VND,1,22.0,28.0,25.0,VND,0
7.000.000 - 15.000.000 VND,1,7.0,15.0,11.0,VND,0
8.000.000 - 12.000.000 VND,1,8.0,12.0,10.0,VND,0
20.000.000 - 30.000.000 VND,1,20.0,30.0,25.0,VND,0
5 - 6 triệu,1,5.0,6.0,5.5,VND,0
15.000.000 - 25.000.000 VND,1,15.0,25.0,20.0,VND,0
8.000.000 - 12.000.000 VND,1,8.0,12.0,10.0,VND,0
10.000.000 - 20.000.000 VND,1,10.0,20.0,15.0,VND,0
8.000.000 - 15.000.000 VND,1,8.0,15.0,11.5,VND,0
6.000.000 - 15.000.000 VND,1,6.0,15.0,10.5,VND,0
7.000.000 - 10.000.000 VND,1,7.0,10.0,8.5,VND,0
7.000.000 - 9.000.000 VND,1,7.0,9.0,8.0,VND,0
10.000.000 - 20.000.000 VND,1,10.0,20.0,15.0,VND,0
15000000 - 20000000 VND MONTH,1,15.0,20.0,17.5,VND,0
8 - 12 triệu,1,8.0,12.0,10.0,VND,0
VND MONTH,0,,,,Unknown,0
8.000.000 - 10.000.000 VND,1,8.0,10.0,9.0,VND,0
10.000.000 - 15.000.000 VND,1,10.0,15.0,12.5,VND,0
7.000.000 - 10.000.000 VND,1,7.0,10.0,8.5,VND,0
14.000.000 - 20.000.000 VND,1,14.0,20.0,17.0,VND,0
15.000.000 - 18.000.000 VND,1,15.0,18.0,16.5,VND,0
9.000.000 - 15.000.000 VND,1,9.0,15.0,12.0,VND,0
7.000.000 - 30.000.000 VND,1,7.0,30.0,18.5,VND,0
6.000.000 - 13.000.000 VND,1,6.0,13.0,9.5,VND,0
7.000.000 - 20.000.000 VND,1,7.0,20.0,13.5,VND,0
10.000.000 - 20.000.000 VND,1,10.0,20.0,15.0,VND,0
10.000.000 - 15.000.000 VND,1,10.0,15.0,12.5,VND,0
15.000.000 - 20.000.000 VND,1,15.0,20.0,17.5,VND,0
15.000.000 - 30.000.000 VND,1,15.0,30.0,22.5,VND,0
7.000.000 - 10.000.000 VND,1,7.0,10.0,8.5,VND,0
35.000.000 - 50.000.000 VND,1,35.0,50.0,42.5,VND,0
15.000.000 - 20.000.000 VND,1,15.0,20.0,17.5,VND,0
3.000.000 - 5.000.000 VND,1,3.0,5.0,4.0,VND,0
8000000 - 12000000 VND MONTH,1,8.0,12.0,10.0,VND,0
6.000.000 - 8.000.000 VND,1,6.0,8.0,7.0,VND,0
8.000.000 - 10.000.000 VND,1,8.0,10.0,9.0,VND,0
10.000.000 - 30.000.000 VND,1,10.0,30.0,20.0,VND,0
11.000.000 - 15.000.000 VND,1,11.0,15.0,13.0,VND,0
7.000.000 - 10.000.000 VND,1,7.0,10.0,8.5,VND,0
8.000.000 - 11.000.000 VND,1,8.0,11.0,9.5,VND,0
10000000 - 15000000 VND MONTH,1,10.0,15.0,12.5,VND,0
7.000.000 - 9.000.000 VND,1,7.0,9.0,8.0,VND,0
11.000.000 - 13.000.000 VND,1,11.0,13.0,12.0,VND,0
15.000.000 - 25.000.000 VND,1,15.0,25.0,20.0,VND,0
10.000.000 - 15.000.000 VND,1,10.0,15.0,12.5,VND,0
12.000.000 - 15.000.000 VND,1,12.0,15.0,13.5,VND,0
8.000.000 - 15.000.000 VND,1,8.0,15.0,11.5,VND,0
15.000.000 - 20.000.000 VND,1,15.0,20.0,17.5,VND,0
20.000.000 - 27.000.000 VND,1,20.0,27.0,23.5,VND,0
7.000.000 - 30.000.000 VND,1,7.0,30.0,18.5,VND,0
15.000.000 - 25.000.000 VND,1,15.0,25.0,20.0,VND,0
7.000.000 - 15.000.000 VND,1,7.0,15.0,11.0,VND,0
7.000.000 - 50.000.000 VND,1,7.0,50.0,28.5,VND,0
5.500.000 - 6.500.000 VND,1,5.5,6.5,6.0,VND,0
7000000 - 10000000 VND MONTH,1,7.0,10.0,8.5,VND,0
9.000.000 - 12.000.000 VND,1,9.0,12.0,10.5,VND,0
9.000.000 - 15.000.000 VND,1,9.0,15.0,12.0,VND,0
9.000.000 - 12.000.000 VND,1,9.0,12.0,10.5,VND,0
15.000.000 - 30.000.000 VND,1,15.0,30.0,22.5,VND,0
8.000.000 - 15.000.000 VND,1,8.0,15.0,11.5,VND,0
8.000.000 - 9.000.000 VND,1,8.0,9.0,8.5,VND,0
8.000.000 - 12.000.000 VND,1,8.0,12.0,10.0,VND,0
5000000 - 6000000 VND MONTH,1,5.0,6.0,5.5,VND,0
8.000.000 - 20.000.000 VND,1,8.0,20.0,14.0,VND,0
7.000.000 - 10.000.000 VND,1,7.0,10.0,8.5,VND,0
12000000 - 15000000 VND MONTH,1,12.0,15.0,13.5,VND,0
20.000.000 - 30.000.000 VND,1,20.0,30.0,25.0,VND,0
33.000.000 - 35.000.000 VND,1,33.0,35.0,34.0,VND,0
22.000.000 - 25.000.000 VND,1,22.0,25.0,23.5,VND,0
7.000.000 - 15.000.000 VND,1,7.0,15.0,11.0,VND,0
10.000.000 - 15.000.000 VND,1,10.0,15.0,12.5,VND,0
7.000.000 - 15.000.000 VND,1,7.0,15.0,11.0,VND,0
12.000.000 - 15.000.000 VND,1,12.0,15.0,13.5,VND,0
10.000.000 - 14.000.000 VND,1,10.0,14.0,12.0,VND,0
12.000.000 - 15.000.000 VND,1,12.0,15.0,13.5,VND,0
10.000.000 - 17.000.000 VND,1,10.0,17.0,13.5,VND,0
7.000.000 - 12.000.000 VND,1,7.0,12.0,9.5,VND,0
8.000.000 - 12.000.000 VND,1,8.0,12.0,10.0,VND,0
6.000.000 - 8.000.000 VND,1,6.0,8.0,7.0,VND,0
10.000.000 - 20.000.000 VND,1,10.0,20.0,15.0,VND,0
7.000.000 - 7.500.000 VND,1,7.0,7.5,7.25,VND,0
10.000.000 - 30.000.000 VND,1,10.0,30.0,20.0,VND,0
